Order_ID,Product_ID,Quantity,Revenue
1,7,4,116724
2,2,1,18415
2,2,2,36830
2,8,2,87076
3,5,3,113157
3,9,2,89730
3,1,3,143910
4,4,5,148780
4,7,1,29181
4,9,5,224325
4,9,1,44865
5,4,5,148780
5,3,3,116319
6,2,3,55245
7,8,5,217690
7,5,4,150876
8,10,2,96776
9,6,1,20473
9,1,3,143910
9,3,1,38773
10,4,3,89268
10,4,1,29756
11,10,1,48388
11,7,3,87543
11,4,3,89268
12,10,2,96776
12,10,1,48388
12,1,5,239850
13,6,2,40946
13,6,3,61419
14,5,5,188595
15,3,1,38773
16,9,1,44865
16,5,3,113157
17,2,3,55245
17,1,3,143910
18,6,4,81892
18,3,2,77546
19,8,2,87076
19,8,3,130614
19,2,5,92075
20,7,3,87543
20,8,3,130614
20,3,4,155092
20,10,1,48388
21,4,4,119024
21,7,1,29181
21,10,5,241940
22,2,5,92075
22,7,4,116724
22,5,4,150876
22,2,4,73660
23,5,3,113157
24,3,5,193865
24,10,2,96776
25,8,5,217690
25,10,2,96776
25,2,3,55245
26,10,1,48388
26,1,1,47970
26,10,5,241940
26,3,1,38773
27,3,1,38773
27,7,5,145905
27,8,5,217690
28,9,3,134595
29,3,2,77546
30,7,3,87543
30,7,3,87543
30,6,5,102365
30,2,3,55245
31,3,4,155092
31,1,2,95940
31,2,2,36830
31,9,5,224325
32,9,5,224325
33,8,4,174152
33,9,4,179460
34,9,1,44865
34,1,5,239850
34,3,3,116319
35,8,1,43538
35,7,2,58362
36,2,1,18415
36,4,3,89268
36,10,2,96776
37,5,2,75438
37,8,1,43538
38,7,2,58362
38,3,1,38773
38,4,1,29756
38,6,2,40946
39,9,5,224325
39,8,3,130614
40,10,3,145164
40,4,5,148780
41,7,3,87543
41,8,2,87076
42,2,5,92075
42,7,4,116724
42,4,1,29756
43,2,2,36830
43,6,4,81892
43,6,5,102365
44,1,5,239850
45,6,2,40946
46,2,5,92075
47,4,2,59512
47,4,1,29756
47,1,1,47970
48,10,2,96776
48,1,1,47970
48,6,3,61419
49,9,4,179460
49,5,5,188595
49,9,1,44865
49,4,4,119024
50,8,4,174152
50,5,1,37719
50,10,4,193552
51,6,2,40946
51,9,5,224325
52,4,3,89268
52,9,1,44865
53,8,2,87076
54,4,1,29756
54,9,2,89730
54,5,4,150876
54,2,2,36830
55,6,5,102365
55,10,3,145164
55,7,5,145905
56,5,5,188595
56,2,2,36830
56,7,2,58362
57,6,5,102365
58,1,4,191880
58,10,5,241940
58,5,5,188595
58,3,3,116319
59,5,1,37719
59,8,3,130614
59,10,4,193552
60,1,3,143910
61,3,3,116319
62,9,5,224325
62,3,5,193865
62,1,5,239850
62,9,3,134595
63,5,3,113157
63,5,5,188595
64,2,5,92075
64,3,1,38773
64,10,5,241940
64,4,1,29756
65,2,2,36830
66,5,2,75438
66,1,2,95940
67,6,3,61419
68,3,2,77546
68,4,1,29756
68,4,2,59512
68,3,2,77546
69,5,5,188595
69,3,4,155092
69,5,4,150876
69,7,4,116724
70,8,4,174152
71,4,5,148780
71,2,5,92075
71,2,5,92075
72,6,1,20473
73,4,1,29756
74,9,5,224325
74,7,1,29181
74,7,4,116724
74,8,5,217690
75,5,5,188595
75,9,4,179460
75,1,1,47970
76,10,3,145164
76,4,4,119024
76,7,2,58362
77,2,3,55245
77,4,2,59512
78,10,4,193552
78,6,1,20473
79,5,5,188595
80,10,5,241940
81,10,1,48388
81,6,5,102365
82,6,2,40946
82,1,4,191880
82,7,2,58362
82,3,4,155092
83,1,3,143910
83,5,1,37719
84,3,4,155092
85,2,2,36830
85,4,1,29756
86,3,3,116319
86,3,5,193865
86,4,3,89268
86,5,3,113157
87,2,5,92075
87,9,4,179460
87,5,4,150876
88,6,1,20473
88,2,3,55245
88,10,1,48388
89,2,2,36830
89,9,1,44865
89,6,1,20473
89,4,5,148780
90,6,1,20473
90,9,5,224325
91,6,4,81892
91,9,3,134595
92,4,1,29756
92,5,1,37719
93,10,2,96776
93,8,5,217690
93,10,5,241940
93,2,5,92075
94,1,5,239850
95,6,4,81892
96,2,5,92075
96,1,5,239850
96,8,5,217690
97,3,3,116319
