Order_ID,Customer_ID,Order_Date,Order_Status
1,768,2026-04-10,Shipped
2,774,2025-11-08,Returned
3,491,2025-11-28,Delivered
4,946,2024-12-16,Returned
5,849,2025-07-24,Shipped
6,549,2025-11-04,Shipped
7,738,2024-07-14,Shipped
8,921,2025-04-25,Shipped
9,793,2025-09-25,Shipped
10,116,2025-05-27,Returned
11,913,2024-10-18,Returned
12,657,2024-12-27,Shipped
13,37,2025-05-01,Returned
14,828,2025-01-05,Returned
15,379,2026-03-13,Delivered
16,70,2024-08-06,Shipped
17,133,2025-05-04,Delivered
18,845,2024-12-07,Shipped
19,868,2026-04-07,Delivered
20,728,2025-08-01,Returned
21,725,2026-05-05,Returned
22,303,2025-03-31,Cancelled
23,483,2024-10-29,Returned
24,896,2024-09-02,Cancelled
25,992,2025-02-06,Returned
26,800,2025-03-01,Cancelled
27,350,2025-04-16,Returned
28,960,2025-04-26,Shipped
29,153,2025-05-09,Cancelled
30,53,2026-03-30,Cancelled
31,964,2025-06-20,Shipped
32,396,2025-11-18,Returned
33,782,2025-01-13,Cancelled
34,64,2025-09-02,Delivered
35,372,2025-11-27,Cancelled
36,398,2026-03-05,Delivered
37,782,2026-03-04,Shipped
38,781,2025-08-05,Shipped
39,583,2024-10-25,Returned
40,241,2024-11-17,Delivered
41,993,2026-02-21,Returned
42,213,2024-10-21,Delivered
43,918,2025-07-14,Returned
44,312,2024-09-05,Delivered
45,811,2025-09-08,Delivered
46,207,2025-02-10,Delivered
47,576,2025-12-30,Cancelled
48,239,2026-05-06,Shipped
49,222,2025-02-28,Cancelled
50,894,2024-11-29,Shipped
51,213,2025-01-03,Shipped
52,83,2024-12-07,Delivered
53,724,2025-03-17,Cancelled
54,776,2026-04-08,Cancelled
55,735,2024-09-11,Shipped
56,623,2024-12-03,Shipped
57,376,2025-09-13,Delivered
58,186,2026-06-04,Delivered
59,150,2025-07-13,Delivered
60,429,2025-06-19,Cancelled
61,117,2025-11-28,Cancelled
62,181,2025-04-11,Cancelled
63,32,2025-04-03,Cancelled
64,363,2025-03-14,Cancelled
